Namespace                                                RegistrationPolicy    RegistrationState    ProviderAuthorizationConsentState
-------------------------------------------------------  --------------------  -------------------  -----------------------------------
Microsoft.ServiceLinker                                  RegistrationRequired  NotRegistered
Microsoft.ServiceNetworking                              RegistrationRequired  NotRegistered
Microsoft.ServicesHub                                    RegistrationRequired  NotRegistered
Microsoft.Singularity                                    RegistrationRequired  NotRegistered
Microsoft.SoftwarePlan                                   RegistrationRequired  NotRegistered
Microsoft.Solutions                                      RegistrationRequired  NotRegistered
Microsoft.Sovereign                                      RegistrationRequired  NotRegistered
Microsoft.SqlVirtualMachine                              RegistrationRequired  NotRegistered
Microsoft.StandbyPool                                    RegistrationRequired  NotRegistered
Microsoft.StorageActions                                 RegistrationRequired  NotRegistered
Microsoft.StorageCache                                   RegistrationRequired  NotRegistered
Microsoft.StorageMover                                   RegistrationRequired  NotRegistered
Microsoft.StorageSync                                    RegistrationRequired  NotRegistered
Microsoft.StorageTasks                                   RegistrationRequired  NotRegistered
Microsoft.Subscription                                   RegistrationRequired  NotRegistered
microsoft.support                                        RegistrationFree      Registered
Microsoft.SustainabilityServices                         RegistrationRequired  NotRegistered
Microsoft.Synapse                                        RegistrationRequired  NotRegistered
Microsoft.Syntex                                         RegistrationRequired  NotRegistered
Microsoft.ToolchainOrchestrator                          RegistrationRequired  NotRegistered
Microsoft.UsageBilling                                   RegistrationRequired  NotRegistered
Microsoft.VerifiedId                                     RegistrationRequired  NotRegistered
Microsoft.VideoIndexer                                   RegistrationRequired  NotRegistered
Microsoft.VirtualMachineImages                           RegistrationRequired  NotRegistered
microsoft.visualstudio                                   RegistrationRequired  NotRegistered
Microsoft.VMware                                         RegistrationRequired  NotRegistered
Microsoft.VoiceServices                                  RegistrationRequired  NotRegistered
Microsoft.WeightsAndBiases                               RegistrationRequired  NotRegistered
Microsoft.Windows365                                     RegistrationRequired  NotRegistered
Microsoft.WindowsPushNotificationServices                RegistrationRequired  NotRegistered
Microsoft.WorkloadBuilder                                RegistrationRequired  NotRegistered
Microsoft.Workloads                                      RegistrationRequired  NotRegistered
Neon.Postgres                                            RegistrationRequired  NotRegistered
NewRelic.Observability                                   RegistrationRequired  NotRegistered
NGINX.NGINXPLUS                                          RegistrationRequired  NotRegistered
Oracle.Database                                          RegistrationRequired  NotRegistered
PaloAltoNetworks.Cloudngfw                               RegistrationRequired  NotRegistered
Pinecone.VectorDb                                        RegistrationRequired  NotRegistered
PureStorage.Block                                        RegistrationRequired  NotRegistered
Qumulo.Storage                                           RegistrationRequired  NotRegistered
SolarWinds.Observability                                 RegistrationRequired  NotRegistered
Wandisco.Fusion                                          RegistrationRequired  NotRegistered        Required
